indices,nomes,paises
2001-01-23,Jeanette Johnson,Nigeria
2024-02-27,Brett Jones,Sri Lanka
2016-02-10,Andrea Jones,Bahrain
2020-07-13,Rachel Bush,Turkey
2002-07-28,Mark Boyd,Switzerland
2005-10-06,Steven Williams,France
1997-01-01,David Edwards,Montserrat
2015-07-16,Anna Snyder,Cambodia
2016-01-06,Alexander Owens,Saint Barthelemy
1998-09-22,Veronica Washington,French Polynesia
1995-12-24,Henry Gonzales,United States Virgin Islands
2010-09-27,Virginia Brown,Zambia
2020-01-28,Debra Lopez,Macedonia
1996-12-14,Trevor Gomez,Uzbekistan
2004-03-05,Stephanie Hart,Jersey
2012-04-07,Michelle Hernandez,Korea
2017-03-14,Edward Coleman,Mali
1996-02-24,Julia Vazquez,Switzerland
2009-01-31,Troy Griffin,Anguilla
2008-06-11,Angelica Wright,Saint Kitts and Nevis
2001-04-15,Thomas Mason,Ecuador
2011-07-28,Tyler Whitehead,Maldives
2006-08-29,Morgan Sandoval,Bermuda
2016-10-23,Christopher Baker,Saudi Arabia
2002-07-16,Jonathan Perry,Uganda
2011-10-31,Ashley Clark,Vietnam
2013-03-12,Jennifer Copeland,Anguilla
1995-09-29,Rebecca Carson,New Zealand
2020-09-29,Sharon Martinez,Luxembourg
2019-02-06,Brandi Simpson,United Kingdom
2020-03-13,Tyler Conway,Hungary
1998-05-24,Dominic Gonzales,Micronesia
2006-05-27,Daniel Frye,Burkina Faso
2018-11-26,Kevin Fleming,Moldova
2010-04-22,Andrea King,Gambia
2002-05-18,Gerald Nunez,Guinea
1995-12-23,Eddie Walton,Grenada
2009-03-02,Randall Smith,Timor-Leste
2021-01-12,Susan Williams,Comoros
2002-09-19,Edward Johnson,Somalia
2000-05-11,James Curtis,Gibraltar
2003-11-10,Robert Hogan,Saint Lucia
2020-03-05,Martha Li,Mauritius
2015-04-06,Andrea Lopez,Israel
2022-03-27,Jesse Baxter,Singapore
1995-02-09,Alexander Salazar,Peru
2005-05-25,Stephen Jones,Estonia
2020-06-07,Donna Barnett,Cape Verde
2001-06-08,Claudia Taylor,Mongolia
1997-10-26,Julia Freeman,Egypt
2021-02-22,April Bonilla,Cook Islands
2008-12-17,Kevin Glover,Lesotho
1996-08-24,Daryl Moore,Pakistan
2018-07-12,Holly Thompson,Western Sahara
2011-05-11,Madison Thomas,Timor-Leste
2019-11-18,Travis Peterson,Cocos (Keeling) Islands
1998-04-16,William Conley,Dominica
2022-01-10,John Jenkins,Taiwan
1996-09-22,Brandi Gould,Burkina Faso
2005-08-31,Kelsey Mccullough,Panama
1995-03-18,James Mcgee,Zambia
2001-11-13,Jason Spence,Congo
2017-06-21,Judy Copeland,Seychelles
2006-07-21,Charles Hunter,Nigeria
2000-06-27,Eric Mcintyre,Croatia
2003-03-04,Albert Fields,Martinique
2013-10-16,Jennifer Andersen,Oman
2021-06-30,Kent Burke,Belgium
2018-03-05,Victoria Kirby,Jersey
2006-09-26,Lori Wells,Latvia
2008-01-03,John Bender,Costa Rica
2003-07-29,Tyler Davis,Guam
2016-12-16,Lindsay Pierce,United States Virgin Islands
1996-09-01,Mark Chan,Mali
1997-06-30,Joseph Miller,El Salvador
2003-10-28,Willie Gentry,Bhutan
2010-03-05,Timothy Rivera,Portugal
2016-08-03,Devon Hale,Philippines
2010-04-15,Peter Nelson,Hungary
1998-05-04,Maria Hernandez,Bahrain
2018-05-18,Matthew Jones,New Caledonia
1997-01-25,Nathan Mills,Lesotho
2022-05-14,Michael Mason,American Samoa
2017-05-30,Alexander Harvey,Mongolia
2013-06-26,Alexandra Hernandez,Vanuatu
2016-12-23,Joseph Gomez,Hong Kong
2017-06-22,Cynthia Ruiz,United States Virgin Islands
2004-09-19,Blake Rogers,Canada
2022-11-30,Robin Lopez,Haiti
1995-01-31,David Vargas,France
2004-06-21,Mr. Gregory Kennedy,Belize
1995-08-05,Mary Richard,Antigua and Barbuda
2010-05-02,Kelly Watkins,Palau
2006-02-22,Angelica Friedman,Madagascar
2019-10-30,Kathy Solis,Nauru
2019-03-02,Joshua Vasquez,Guyana
2023-03-03,Theresa Davis,Belarus
1995-06-30,Darryl Dalton,Bhutan
1997-05-31,Scott Clark,Liechtenstein
2008-01-30,Jeremy Mcgee,Uruguay
1999-03-01,Logan Weeks,Myanmar
2000-12-19,Michael Howard,Senegal
1998-07-28,Vincent Cook,Madagascar
1996-03-14,Ashley Webster,Malawi
2011-07-07,Marie Skinner,British Virgin Islands
2005-02-24,April Smith,Mexico
2012-10-22,Kaylee Lopez,New Caledonia
2018-12-24,Mark Franco,Ecuador
1997-12-29,Megan Jackson,Togo
1998-06-09,Sean Rice,Mayotte
2017-10-02,Shelly Bennett,Congo
2010-10-10,James Gonzalez,Trinidad and Tobago
2005-07-31,Kathryn Lopez,Cote d'Ivoire
2009-09-13,Robert Jones,Kazakhstan
2002-08-23,Katie Diaz,Morocco
2013-10-09,Beth Garner,Norfolk Island
2012-09-11,Michele Salas,American Samoa
2021-09-12,Vanessa Arnold,Angola
2015-10-06,Anna Hernandez,Guatemala
2012-04-17,Peter Oliver,Martinique
2022-05-20,Brittany Johnson,Liberia
1994-11-29,Kathryn Spears,Slovakia (Slovak Republic)
2016-07-23,Dana Estes,Myanmar
2003-08-31,Daniel Lewis,Angola
2008-03-17,Jamie Powell,Denmark
2023-10-07,Maria Phillips,Tokelau
2004-04-08,Tracy Johnson,France
2018-08-07,Christopher Miller,Lebanon
2000-02-03,Robert Lee,Somalia
1997-08-05,Michael Collier,Comoros
2012-07-21,Miranda Reeves,Guatemala
2016-01-04,Nancy Harris,Belize
2018-07-22,Kristopher Parker,United Arab Emirates
2016-02-08,Amanda Hendricks,Saint Vincent and the Grenadines
2023-06-02,Kimberly Ross,Gambia
2004-07-21,Thomas Thomas,Bhutan
2005-06-22,Amber Hernandez,Switzerland
2012-03-09,Todd Lawrence,Uruguay
2019-08-14,Dr. Cynthia Hawkins,Tuvalu
2010-03-25,Kenneth Ortiz,Belarus
2011-06-11,Brittany Roberts,Nicaragua
2011-07-26,Jeremy Wilson,Libyan Arab Jamahiriya
2020-02-06,Alexis Foster,Italy
2013-06-11,William Harrison,Bahrain
2002-03-08,David Acevedo,Monaco
2010-02-09,Sarah Turner,Sweden
1997-11-14,Jessica Freeman,Denmark
2017-10-14,Kathleen Garcia,Bahamas
2016-09-22,Traci Stewart,Greece
2021-07-14,Brandon Flynn,Cape Verde
2013-11-20,William Ruiz,Faroe Islands
2004-04-06,Angela Roberts,Sweden
2010-02-21,Kimberly Sanchez,Barbados
2013-01-07,Crystal Brewer,Liechtenstein
1995-09-07,Jessica Rush,Mayotte
2006-01-02,Sophia Ball,Grenada
2002-06-30,Mrs. Julia Brown MD,Grenada
2011-02-05,Frank Cox,United States Virgin Islands
2023-03-09,Charles Lewis,Faroe Islands
2017-12-15,Mrs. Susan Smith,Samoa
2023-10-05,Maxwell Martin,Spain
2010-08-27,James Phillips,United Kingdom
2010-04-20,Jennifer Jordan,Lithuania
2021-09-11,Derek Ayala,Netherlands
1999-05-25,Peter Sanchez,Congo
2003-12-29,James Villanueva,Malta
2007-09-30,Jody White,Switzerland
2011-10-22,Tiffany Ward,Senegal
2007-03-26,Eric Anderson,Mongolia
2009-11-11,Jason Wilcox,Tunisia
2018-08-16,Levi Boyd,Belgium
1998-10-01,Melissa Martin,Paraguay
2009-08-24,Erik Garrett,Timor-Leste
1998-06-12,Jennifer Cordova,Andorra
2006-12-10,Matthew Parks,Austria
2004-07-22,Sherri Johnson,Grenada
2001-10-31,Rebecca Cannon,Heard Island and McDonald Islands
2011-11-08,Elizabeth Morales,Czech Republic
2001-04-16,Jonathan Andersen,Pitcairn Islands
2013-11-28,Jill Taylor,Tajikistan
2020-05-11,David Brown,Niger
1996-05-18,Tara Dominguez,Cambodia
2000-09-07,Douglas Aguilar,China
2023-03-28,Daniel Cook,Japan
2022-11-24,Cheryl Mays,Monaco
2000-03-15,Lawrence Wade,Panama
2019-06-08,Sean Lopez,Philippines
2021-12-23,Jeremy Wilkins,Argentina
2002-04-29,Dylan Howard,Kuwait
2020-03-11,Ashley Wagner,United States Virgin Islands
2010-11-06,Jessica Bush,Martinique
1994-06-30,Jeffery Mccall,Eritrea
2017-12-14,Denise Holland,Congo
2016-03-24,Joan Peterson,Italy
2014-12-08,Robert Fowler,Norway
2006-05-01,Aaron Walker,Taiwan
2010-02-25,Beverly Walker,Turks and Caicos Islands
2003-03-05,Tracey Alexander,Serbia
1999-09-14,Lisa Garza,Puerto Rico
1995-12-09,Cassandra Gates,British Virgin Islands
2014-03-24,Marc Diaz,Jersey
2017-11-12,Jonathan Villa,Croatia
2023-07-09,Kevin Solis,Cameroon
2015-10-16,William Jones,Greenland
1996-01-10,Todd Willis,Tonga
1994-09-08,Michelle Mora,Mauritius
2024-02-11,Julie Gill,Pakistan
2014-04-19,Ryan Espinoza,Dominican Republic
2004-05-10,Luis Cooper,Switzerland
2022-06-02,Jordan Williams,Greenland
2024-04-25,Melvin Cooper,Ukraine
1996-04-05,Kaitlyn Murphy,Georgia
1996-10-06,Brandon Stephens,Anguilla
2005-12-24,Eileen Woods,Congo
2005-10-18,Kristina Moody,Saint Vincent and the Grenadines
1996-02-03,Ricky Thompson,Moldova
2019-09-07,James Hubbard,Congo
2019-09-19,Brenda Dixon,Tokelau
2014-05-01,Anna Smith,Germany
2006-03-01,Jennifer Nelson,Pakistan
2021-11-29,Catherine Lopez,Lithuania
2005-11-04,Jessica Anderson,Pakistan
2009-10-29,Christine Solis,Croatia
2003-09-09,Lisa Williams,Benin
2004-08-05,Eugene Garcia,Mayotte
1994-06-13,Gary Adams,Kiribati
2021-12-01,Robert Meyer,Mauritania
2011-09-25,Alexandra Bennett,Korea
2013-08-02,Penny Gutierrez,Estonia
2011-01-22,Jason Mccarthy,Angola
2015-03-28,Mark Curtis,Uzbekistan
2022-05-05,Emily Gray,India
2017-07-08,Monique Phelps,Bolivia
2014-09-08,Dominique Mcclure,Samoa
2011-11-04,Tammy Wright,Niue
1995-05-25,Jack Meyer,Liberia
2001-06-20,Savannah Barber,Christmas Island
2002-08-13,Johnny Evans,Kiribati
2017-06-07,Melissa Jennings,United States of America
2009-02-20,Crystal Brown,Luxembourg
1998-05-07,Brittany Braun,Hungary
1997-01-22,Thomas Simpson,Liechtenstein
2003-03-09,Kelly Monroe,Kazakhstan
2001-09-13,Todd Wood,Saint Martin
2016-11-22,Brittany Smith,Tokelau
2008-12-09,Adam Brown,Mauritius
2013-03-26,Erin Parker,French Polynesia
2023-01-03,Megan Andrade,Montserrat
2020-03-14,Jennifer Hernandez MD,Oman
1994-10-01,Ashley Greer,Haiti
2004-09-29,Angelica Beltran,Uruguay
2022-03-13,Adam Reese,Cyprus
2019-04-18,Morgan Hull,Dominican Republic
2018-04-23,Jade Fleming,Macedonia
2002-05-30,Bobby Miller,Iceland
2023-05-05,Gwendolyn Greene,Denmark
2005-04-25,Danielle Wilson,Kuwait
2021-02-28,April Bailey,Saint Martin
2015-09-04,Brad Mitchell,Mauritania
1997-07-17,Michelle Garcia,Isle of Man
2020-05-18,John Vincent,Andorra
2005-01-06,Carolyn Beasley,Western Sahara
1995-04-18,Bradley Johnson,Bangladesh
2007-01-15,Keith Parker,Mauritius
1995-08-24,Karen Ross,Vietnam
2001-06-06,Michelle Scott,Argentina
2016-01-01,Amy Foster,Tunisia
2002-11-29,Rebecca Ball,Pitcairn Islands
2006-05-12,Alex Allison,Kuwait
2022-05-13,Tara Reeves,Venezuela
1995-09-07,Donna Sweeney,Bolivia
1999-08-28,John Bruce,India
2018-07-30,Jennifer Thompson,Palestinian Territory
2001-04-09,Shannon Cook,Venezuela
2007-03-30,Kimberly Gonzalez,Turkmenistan
2007-09-25,Angela Beard,Micronesia
2006-05-14,Rachel Santiago,Haiti
2006-07-22,Erin Hamilton,Portugal
2008-09-06,Lisa Hamilton,Japan
2010-07-07,Mrs. Lynn Conrad,Guernsey
2013-01-20,Wendy Martinez,Netherlands Antilles
1998-08-15,Amanda Gonzalez,Chile
1995-09-25,Joseph Mccullough,Colombia
2020-06-19,Patrick Hoffman,Afghanistan
2009-01-26,Troy Singh,Angola
2021-12-09,Christy Fitzgerald,Nepal
2020-01-15,Randy Smith,Christmas Island
1997-03-20,Douglas Morrow,Mauritania
2024-03-24,Richard Livingston,Yemen
2023-06-25,Miss Nicole Evans,Saint Pierre and Miquelon
2004-08-26,Nancy King,Ghana
1998-03-13,Kelly George,Antarctica (the territory South of 60 deg S)
1998-08-28,Kari Gardner,Burundi
2022-06-20,Elijah Ryan III,Macao
2006-02-01,Jessica Salas,Guyana
2020-10-09,Cheryl Smith,Turks and Caicos Islands
2010-02-23,Joseph Cline,Greenland
2022-03-01,Jermaine Kelley,Timor-Leste
2012-01-03,Corey Smith,Chad
2014-05-12,Elizabeth Hayes,French Polynesia
2023-06-29,Jonathan Palmer,Rwanda
2004-04-27,Chad Palmer,Cayman Islands
2005-10-26,Sandy Baker,Morocco
2021-03-03,Eric Stewart,Vanuatu
1996-01-04,David Page,Botswana
2014-06-18,James Harrell,Saudi Arabia
2014-09-08,Patrick Ruiz,Papua New Guinea
2019-08-24,Denise Jacobs,Lithuania
2012-10-07,Katie Bautista,Cambodia
2004-02-29,Steven Jordan,Gabon
2015-06-28,Cynthia Koch MD,Belize
2013-06-25,Kimberly Holland,Japan
2002-11-11,Ruth Ingram,Mauritania
2009-09-24,Nicole Kennedy,Saint Pierre and Miquelon
1999-02-07,Kathleen Merritt,Brunei Darussalam
2003-09-07,Eric Warren Jr.,Holy See (Vatican City State)
2012-05-25,Leslie Benitez,United States Minor Outlying Islands
2008-02-03,Melissa Davenport,Dominican Republic
1995-01-30,Stephanie Richardson,Benin
2014-11-24,Gary Warren,Saint Vincent and the Grenadines
1994-12-19,Anthony King,Portugal
2011-03-20,Alison Campos,Bahrain
2010-07-16,Jacqueline Poole,India
2007-08-02,Cheryl Moreno,Niger
2006-11-15,Mary Meza,Namibia
2005-11-12,Brian Taylor,Lao People's Democratic Republic
2013-06-10,Leslie Gill,Gabon
1998-08-28,Donna Duncan,Iraq
2014-04-21,Heather Diaz,Puerto Rico
2005-06-26,James Melendez,Luxembourg
2024-02-21,Sarah May,Brazil
1996-07-01,Kelly Joyce,Cape Verde
2003-12-20,George Harris,Estonia
2016-10-21,Peter Parker,Monaco
2018-04-11,Maria Ingram,Togo
2011-01-29,Christopher Sanchez,Azerbaijan
1997-01-25,David Lawson,French Polynesia
2004-04-04,Suzanne Williams,France
2018-05-16,Bryan Stanley,Germany
2001-08-26,Pam Tyler,American Samoa
2007-06-03,Pamela Edwards,Korea
2006-01-06,Erika Ortiz,Saint Vincent and the Grenadines
2018-08-25,Michelle Ramos,French Guiana
2019-05-13,Jamie Thomas,Slovakia (Slovak Republic)
2007-12-22,Steven Colon,San Marino
2004-01-01,Diane Wheeler,Congo
2022-06-03,Thomas Snyder,Morocco
1994-08-24,Christopher Turner,Kenya
1997-01-12,Paul Davis,Togo
2023-08-19,Matthew Cabrera,Pitcairn Islands
1997-12-16,Rebecca Smith,Bosnia and Herzegovina
2017-06-24,Larry Smith,Antigua and Barbuda
2012-04-24,Nicole Rose,Trinidad and Tobago
2011-09-01,Joy Clark,Brazil
2008-02-24,Richard Hicks,Haiti
2001-07-06,Laura Daniel,Mali
2007-11-10,John Gillespie,Christmas Island
2006-11-08,Victoria Porter,Kazakhstan
2010-12-25,Jessica Clayton,Uruguay
2016-05-12,Anthony Moore,Kazakhstan
2015-03-29,Courtney Carey,Vanuatu
1996-01-29,Nicholas Davis,Senegal
2015-04-28,Jonathan Nguyen,Sao Tome and Principe
2009-04-16,Barry Wallace,Saint Barthelemy
1996-11-04,Kenneth Bean,Jamaica
2003-09-30,Tyler Allison,Northern Mariana Islands
1995-09-03,William Tyler,Denmark
2018-08-25,Colin Bradley,Swaziland
2011-11-29,Chris Woods,Jordan
2017-06-25,Dana Lawrence,Lithuania
2023-05-21,Denise Cox,Colombia
2011-11-14,Michael Brown,Netherlands Antilles
1998-07-13,Zachary Bailey,Tanzania
2014-01-17,Deborah Griffin,Saint Lucia
2002-09-22,Karen Bell,Netherlands Antilles
2005-09-14,Carlos Li,Niger
2019-07-03,Audrey Nichols,Saint Pierre and Miquelon
1994-09-08,Keith Carter,Tajikistan
2012-11-17,Cameron Hernandez,Saint Pierre and Miquelon
2007-11-27,Roberto Smith,Swaziland
2016-12-05,Tina Lambert,Cambodia
2003-10-09,Allison Ortiz,Netherlands
1998-10-16,Shannon Rosales DDS,China
2011-08-12,Keith Silva,Pitcairn Islands
2001-06-04,Allen Flores,Morocco
2012-05-02,Crystal Coleman,Chad
1999-09-20,Michael Kelley,Bouvet Island (Bouvetoya)
2003-11-26,Mr. Joshua Smith II,Yemen
2003-05-02,Kevin Patterson,Mexico
2014-05-09,Michele Scott,Mozambique
2010-03-07,Andrea Martin,Albania
2013-11-15,David Schmidt,British Indian Ocean Territory (Chagos Archipelago)
2008-02-04,James Ferrell,Saint Martin
2016-07-11,Adam Horne,Montserrat
2004-02-11,Sabrina Chambers,Syrian Arab Republic
2010-04-21,Eric Robinson,Dominican Republic
2006-02-26,Mark Carlson,Fiji
2002-10-26,Robert Jackson,Slovakia (Slovak Republic)
1994-09-26,James Acosta,Oman
2000-05-29,Tommy Williams,Ghana
2013-12-26,Shirley Holmes,Saint Vincent and the Grenadines
2000-01-16,Peter Jones,Sierra Leone
2023-08-11,Maria Brooks,Puerto Rico
1997-03-30,Karen Reese,Zambia
2008-10-29,Debbie Vargas,Colombia
2022-07-30,Tammy Perkins,Suriname
1995-06-23,Lisa Gray,Kenya
2001-05-14,Peter Reilly,Canada
2021-11-15,Kimberly Cabrera,Somalia
2013-11-07,Heather Johnson,Suriname
1996-08-25,Debra Johnson,Burundi
2007-02-14,Evelyn White,Niue
2020-07-24,Jacob Smith,French Guiana
2022-02-12,Marco Allen,Lithuania
2017-11-19,Nicholas Johnson,Ireland
2016-06-29,Erika Wilson,Bulgaria
1994-09-04,Mr. Jeffrey Hays,Northern Mariana Islands
2024-02-10,Robert Anderson,Faroe Islands
2011-02-20,Jamie Garcia,Ghana
1997-12-28,Marcus Duncan,Gibraltar
2012-12-24,Rhonda Reed,Kazakhstan
2007-01-19,Amber Waters,Yemen
2009-05-26,Brian Meyer,Malta
2006-04-04,Leslie Green,Antarctica (the territory South of 60 deg S)
2003-06-14,Margaret Arias,Tuvalu
2005-10-19,Ruben Watson,Pitcairn Islands
2020-07-21,Francisco Sims,Equatorial Guinea
2008-02-27,Mary Wilson,Tajikistan
2020-07-23,Alexis Pacheco,Timor-Leste
2016-07-14,Tim Lewis,Syrian Arab Republic
1996-08-11,Dr. Amanda Hill PhD,Taiwan
2013-09-23,Angela Thornton,Nauru
1995-07-13,Leonard Gill,Holy See (Vatican City State)
2000-04-14,Priscilla Payne,Malaysia
2010-05-18,Diane Collins,Kiribati
1997-01-26,Theresa Nunez,Brunei Darussalam
2013-05-26,Jesse Bell,Ukraine
2023-06-08,Crystal Rodriguez,Kazakhstan
2010-08-06,Amy Spence,Turks and Caicos Islands
2012-04-13,Jerry Reed,Iraq
2023-05-09,Brooke Knox,Bhutan
2009-06-25,David Lindsey,Mexico
1995-04-17,Diane Newman,Georgia
2022-02-12,Megan Sandoval,Niue
1997-03-29,Mary Olson,Zimbabwe
2004-03-07,Michael Carr,Norway
2016-04-02,Jason Johnson,Uruguay
1999-09-09,Keith Rivers,Seychelles
2000-02-25,Molly Lee,Uganda
1997-05-30,Brandon Dixon,Kazakhstan
2023-05-27,Danielle Watson,Peru
1998-04-15,Maria Booth,Nauru
2020-12-20,Maria Jones,Estonia
2007-09-17,Heather Barker,Mongolia
1999-01-25,Jennifer Flores,Guyana
2002-10-22,Katelyn Bell,Georgia
2019-07-03,Dr. Francisco Gallegos,Saint Helena
2006-12-27,Stephen Wilkerson,Palestinian Territory
2016-10-28,Richard Webster,Morocco
1996-02-14,Vanessa Walker,Thailand
2009-04-29,Stacy Collins,Sudan
2001-07-29,Robert Floyd,Nepal
2013-12-23,Jessica Peters,Chad
2006-08-04,Alan Clark,Ukraine
2009-04-03,Rita Jackson,Italy
2008-09-27,Erik Fitzgerald,Iran
2023-02-15,Peggy Kennedy,Lithuania
2016-10-15,Scott Peterson,Saint Barthelemy
2012-02-12,Gary Osborne,Gibraltar
1999-05-15,Jonathan Young,Pakistan
2015-06-19,Thomas Kirby,Palau
1994-09-20,Kyle Hernandez,Korea
2022-03-26,Thomas Zamora,Cyprus
1999-05-30,Timothy Fleming,Iraq
1999-04-22,Amber Carter,Papua New Guinea
2016-09-15,Matthew Powers,Canada
2021-01-24,Susan Watkins,Antarctica (the territory South of 60 deg S)
2014-05-15,Colleen Lynch,Palau
2006-01-25,James Garcia,Indonesia
2012-08-24,Tara Waters,Australia
2018-10-30,James Wells,Brunei Darussalam
2003-04-14,Marilyn Zamora,Cameroon
1998-09-15,Lisa Alvarado,Mozambique
2010-01-28,Rachel Thomas,Mexico
2007-02-14,Haley Pacheco,Christmas Island
2013-04-26,Catherine Scott,United Kingdom
2017-05-06,Jeffrey Davis,Monaco
2016-08-15,Lauren Reed,Micronesia
2011-03-16,Bonnie Porter,Austria
1996-07-26,Kenneth Donaldson,Serbia
2012-10-23,Steven Brown,Malaysia
2009-04-24,Jon Smith,Serbia
2011-03-19,Katherine Ferguson,Tuvalu
2020-04-07,Mr. Michael Whitaker,Chad
2019-05-31,Angela Torres,Pitcairn Islands
1995-03-13,Lisa Johnson,Lithuania
2013-09-21,Robert Graham,Taiwan
2017-04-09,Tyler Thompson,Gibraltar
2015-10-29,Michael Ho,Nigeria
2012-06-28,Laurie Love,Panama
2020-05-17,Charlene Chavez,United States Minor Outlying Islands
2008-02-14,Shelby James,Afghanistan
1998-02-18,Donna Walter,Bhutan
2010-10-30,Kayla Osborn,Grenada
2004-10-24,Victor Vargas,Cyprus
2021-05-26,Patricia Arias,Antarctica (the territory South of 60 deg S)
1998-10-28,Nicholas Guerrero,Bolivia
2017-11-19,Patrick Miller,Greenland
2004-07-06,Gregory Singleton,Belgium
2005-06-05,Daniel Sosa,Ukraine
2022-12-09,Christine Whitaker,Grenada
2013-04-16,Robert Villanueva,Lao People's Democratic Republic
2018-07-26,Luis Nguyen,Venezuela
2000-06-19,Jeffrey Griffin,Greenland
2019-04-13,Evan Crawford,Zimbabwe
2006-11-20,Lawrence Anderson,Afghanistan
2005-12-28,Mr. Vincent Porter,Papua New Guinea
2020-03-09,Brian Holland,Somalia
2011-03-29,Jason Lynch,South Georgia and the South Sandwich Islands
2017-12-04,Julie Rodriguez,Slovenia
2018-10-10,Jeffrey Mcintosh,Togo
2004-07-13,Gina Trujillo,Bahamas
1999-10-05,Olivia Cunningham,Albania
2012-03-20,Michael Baker,Italy
2009-02-14,Tyler Simmons,Ukraine
1998-06-01,Joseph Parsons,United States Virgin Islands
1996-12-11,Anna Kelly,Antigua and Barbuda
1995-05-31,Laura Moore,Turkmenistan
1994-12-10,Dustin Gaines,Belarus
2020-04-03,Stephanie Ortiz DVM,Cote d'Ivoire
2006-09-02,Anthony Hunt,Saint Kitts and Nevis
2016-09-15,Teresa Johnson,Australia
1997-11-20,Jacqueline Dunn,Barbados
2015-05-10,Molly Lewis,Fiji
2005-12-27,Jared Peterson,Belgium
2022-03-26,Thomas Knapp Jr.,Bahrain
2000-10-03,Jamie Walker,Saint Vincent and the Grenadines
2021-10-30,Amber Nguyen,Guam
1996-04-17,Danielle Jackson,Iran
2006-09-23,Melissa Morris,United Kingdom
1998-03-31,Christopher Rivera,Isle of Man
2022-02-08,Shelly Morris,Zambia
2001-02-20,Dawn Mcpherson,Dominican Republic
2010-06-16,Kimberly Martin,Saint Helena
1996-02-15,Heather Harrison,Mauritania
2010-05-05,Anna Adams,Uzbekistan
2006-02-17,Laura Jimenez,Albania
2020-06-26,Carol Herman,Finland
2008-04-03,Pamela Montoya,Kyrgyz Republic
2021-07-13,Christina Hansen,Tonga
2011-07-30,Jody Watkins,Ukraine
2011-01-23,Andre Romero,Northern Mariana Islands
2005-07-18,Kellie Park,Oman
1994-05-26,Samantha Dunn,Guatemala
2010-05-16,Wendy Peters,Chad
1995-06-15,Christine Yu,Tanzania
2010-02-03,Andre Ruiz,Canada
2012-06-04,Mark Adams,Korea
2017-07-24,Raymond Howard,Ghana
2012-12-31,Rachel Cunningham,Nepal
2013-11-25,Gabriel Nguyen,Malta
2017-08-05,John Campbell,Mauritania
2003-11-22,Rachel Bradley,Congo
2020-10-07,Christopher Mills,Thailand
2021-07-18,Jermaine Mcdonald,Macao
1994-09-27,Ashley King,Lebanon
2009-04-28,Christy Campbell,Faroe Islands
2020-05-09,Emily Schmidt,Gambia
2008-08-29,Bobby Henderson,Haiti
2021-07-29,Kevin Allen,Samoa
2015-04-20,Jonathan Houston,Syrian Arab Republic
1997-02-13,Ashley Bennett,Vietnam
2001-04-13,Crystal Marsh,Ireland
2013-10-15,Darren Jenkins,Kiribati
2005-02-05,Nicholas Esparza,Iraq
1998-11-13,Marco Andrews,Turks and Caicos Islands
2006-11-16,Mark Ingram,Eritrea
2003-08-21,Sarah Daniels,Panama
2015-03-17,Edward Mccoy,British Indian Ocean Territory (Chagos Archipelago)
2022-08-31,Jesus Jones,Niue
1998-01-18,Peter Valdez,China
2000-08-27,Deanna Morgan,Cook Islands
2011-12-01,Robert Miller,Uzbekistan
2019-02-16,Virginia Kelley,El Salvador
1997-02-21,Rebecca Rodriguez,Malawi
2010-10-26,Anthony Weaver,Hong Kong
2019-01-28,Dwayne Woodward,Nauru
2015-01-25,Benjamin Crane,Mali
2010-09-19,Jo Hahn,Colombia
1995-09-28,Elizabeth Reyes,Lao People's Democratic Republic
2010-08-27,Amy Cannon,Eritrea
2008-03-25,Dawn Griffin,Mongolia
2021-05-11,Holly Craig,Brazil
2014-07-05,William Brown,Norfolk Island
2014-04-08,Timothy Owens,Greece
2017-11-06,Travis Sanchez,Thailand
1997-07-03,Curtis Pratt,New Caledonia
2007-08-15,Brandon Roberts,Ireland
2001-11-08,John Gray,Monaco
2013-07-19,Daniel Adams,Malta
1996-05-19,Becky Wilson,Cyprus
2006-12-30,Beth Mcdaniel,Saint Lucia
2001-01-23,Brandy Cook,Uruguay
2011-08-12,Jordan Rodriguez,Libyan Arab Jamahiriya
2016-09-05,Jessica Wilson,Luxembourg
2024-02-16,Bradley Gilmore,Bulgaria
2016-09-14,Ralph Wilson,Congo
2015-12-22,Lisa Gallagher,Azerbaijan
1996-04-22,Jose Harvey,Nicaragua
1997-08-07,Derrick Lopez,Germany
1995-08-30,Thomas Wheeler,Mayotte
2018-01-28,Sarah Davis,Grenada
1996-10-22,Kristina Page,Turkmenistan
2006-07-24,Angela Brown,Haiti
2022-02-10,Zachary Thompson,Saint Helena
2001-07-20,Stephanie Martinez,Oman
2014-06-01,Melissa White,Kazakhstan
2023-10-03,Amber Lee,Lao People's Democratic Republic
2002-08-22,Matthew Reid,Moldova
1998-01-01,Tyler Williams,Kuwait
2018-05-19,Ashley Carr,Montserrat
1999-05-26,Haley Mitchell,Malta
1998-09-11,Teresa Rodriguez,Malaysia
2016-05-17,Daniel Thornton,Antarctica (the territory South of 60 deg S)
2019-02-07,Monique Luna,Jordan
2004-11-03,Patricia Burns,Mauritania
1996-10-29,Brenda Martin,Bulgaria
2009-05-30,Nicole Warren,South Georgia and the South Sandwich Islands
1995-09-22,Michelle Nelson,United States Minor Outlying Islands
1995-01-21,Stephanie Bennett,Tokelau
2015-09-11,Scott Spence,Turks and Caicos Islands
2021-11-25,Joshua Kane,Canada
2014-05-19,Jeffrey Alvarez,Niger
2020-09-21,Robert Gibson,Saint Vincent and the Grenadines
2018-11-26,Patricia Johnson,Croatia
